INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2017,1,1.5,,,,,10,30,50,10,,,,,,,,,,,
2017,2,1.6,0,0,0,0,0,10,80,10,0,0,0,0,,,,,,,
2017,4,1.5,0,0,0,0,10,40,40,10,0,0,0,0,,,,,,,
2017,6,1.5,,,,,10,30,50,10,,,,,,,,,,,
2017,7,1.4,,,,,,,,,,,,,,,,,,,
2017,8,1.6,,,,,,35,60,5,,,,,,,,,,,
2017,10,1.5,,,,,,35,60,5,,,,,,,,,,,
2017,14,1.6,0,0,0,0,0,29,71,0,0,0,0,0,,,,,,,
2017,15,1.575,,,,5,10,20,40,20,5,,,,,,,,,,
2017,16,1.5,1,2,6,9,13,17,21,15,9,4,2,1,,,,,,,
2017,20,1.4,,,,,,55,45,,,,,,,,,,,,
2017,22,1.5,,,,0,10,35,45,10,,,,,,,,,,,
2017,23,1.4,,,,5,20,30,28,15,2,,,,,,,,,,
2017,24,1.6,,,,5,15,30,30,15,5,,,,,,,,,,
2017,29,1.3,,,,,10,60,30,,,,,,,,,,,,
2017,31,1.7,,,,,10,20,45,20,5,,,,,,,,,,
2017,32,1.5,0,0,0,.0000250759,.4209057326,39.9454633596,58.0441547512,1.5891671048,.0002839757,.0000000002,0,0,,,,,,,
2017,33,1.6,.1,.3,.5,1.5,4,30,35,20,6,2,.5,.1,,,,,,,
2017,35,1.7,,,,,,10,80,10,,,,,,,,,,,
2017,36,1.6,0,0,0,0,10,30,50,10,0,0,0,0,,,,,,,
2017,37,1.5,,,,,,16,84,,,,,,,,,,,,
2017,38,1.6,,,,,,20,60,20,,,,,,,,,,,
2017,39,1.5,,,,5,15,33,37,10,,,,,,,,,,,
2017,41,1.6,,,,,,20,80,,,,,,,,,,,,
2017,45,1.55,,,,,,30,70,,,,,,,,,,,,
2017,47,1.5,,,,,5,30,40,20,5,,,,,,,,,,
2017,48,1.7,,,,,,5,90,5,,,,,,,,,,,
2017,49,1.5,,,,,,,,,,,,,,,,,,,
2017,52,1.6,0,0,0,1,3,25,45,22,3,1,0,0,,,,,,,
2017,56,1.5,,,,,0,40,60,,,,,,,,,,,,
2017,61,1.5,,,,,10,40,40,10,,,,,,,,,,,
2017,70,1.5,,,,,,35,65,,,,,,,,,,,,
