INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,,
2019,1,1.2,,,,1,10,70,14,4,1,,,,,,,,,,,,
2019,2,1.2,0,0,0,0,10,80,10,0,0,0,0,0,,,,,,,,,
2019,4,1.2,,,,,,80,20,,,,,,,,,,,,,,
2019,5,1.1,,,,,25,75,,,,,,,,,,,,,,,
2019,6,1.2,,,,,,80,20,,,,,,,,,,,,,,
2019,7,1.2284152772,,,,,,,,,,,,,,,,,,,,,
2019,10,1.1,,,,,20,75,5,,,,,,,,,,,,,,
2019,14,1.3,0,0,0,0,0,100,0,0,0,0,0,0,,,,,,,,,
2019,15,1.2,,,,,10,75,15,,,,,,,,,,,,,,
2019,16,1.2,0,1,2,8,16,45,15,10,2,1,0,0,,,,,,,,,
2019,20,1.2,,,,,15,80,5,,,,,,,,,,,,,,
2019,22,1.1,,,,,25,75,,,,,,,,,,,,,,,
2019,23,1.2,,,,,10,80,10,,,,,,,,,,,,,,
2019,24,1.217263873,,,,6,24,36,24,10,,,,,,,,,,,,,
2019,26,1.2,,,,,10,80,10,,,,,,,,,,,,,,
2019,32,1.2,0,0,0,0,.8186526536,98.318915531,.8624318154,0,0,0,0,0,,,,,,,,,
2019,33,1.3,,0,0,11,21,31,20,10,5,2,0,,,,,,,,,,
2019,37,1.2,,,,,2,98,,,,,,,,,,,,,,,
2019,38,1.2,,,,,,90,10,,,,,,,,,,,,,,
2019,39,1.2,,,,,15,70,15,,,,,,,,,,,,,,
2019,41,1.2,,,,,50,50,,,,,,,,,,,,,,,
2019,45,1.2,,,,,10,80,10,,,,,,,,,,,,,,
2019,47,1.2,,,,,10,85,5,,,,,,,,,,,,,,
2019,48,1.2,,,,,,100,,,,,,,,,,,,,,,
2019,54,,,,,,25,50,25,,,,,,,,,,,,,,
2019,56,1.2,,,,,5,90,5,,,,,,,,,,,,,,
2019,57,1.3,0,0,0,0,20,67,13,0,0,0,0,0,,,,,,,,,
2019,61,1.2,,,,,30,60,10,,,,,,,,,,,,,,
2019,67,,,,,,,,,,,,,,,,,,,,,,
2019,80,1.4,0,0,0,0,.2301495972,70.7710011508,28.998849252,0,0,0,0,0,,,,,,,,,
2019,82,1.2,,,,,,,,,,,,,,,,,,,,,
2019,85,1.1526947805,.0000000002,.0000034661,.005796145,1.0221576678,20.8145738752,55.8227977938,21.26056117,1.0679043776,.0062017032,.0000038009,.0000000002,0,,,,,,,,,
2019,88,1.1,,,5,20,30,15,10,8,7,5,,,,,,,,,,,
2019,89,1.1430860271,0,0,.2,3.6,27.2,47.5,19.6,1.9,0,0,0,0,,,,,,,,,
2019,93,1.1,,,,,30,52.5,17.5,,,,,,,,,,,,,,
2019,95,1.175664417,3.4764803864,5.4189342999,8.4883313695,12.0439025642,14.0779471533,17.1792511987,14.3948933092,8.8030440714,6.6065353897,4.2487364017,3.1582133348,2.1037305212,,,,,,,,,
2019,96,1.2,,,,10,20,50,15,5,,,,,,,,,,,,,
2019,97,1.2,,,,,,,,,,,,,,,,,,,,,
2019,98,1.2,,,,,,100,,,,,,,,,,,,,,,
2019,99,1.3,,,,,,90,10,,,,,,,,,,,,,,
2019,101,1.2,,,,,10,80,10,,,,,,,,,,,,,,
2019,102,1.2,,,,,,,,,,,,,,,,,,,,,
2019,103,1.2,,,,,5,90,5,,,,,,,,,,,,,,
2019,107,1.129459,0,.0000000531,.0009183251,.6787473884,25.046667018,62.0569948067,12.0726669727,.1439246169,.0000808172,.0000000019,0,0,,,,,,,,,
2019,110,1.4752618392,0,0,0,0,.0000000026,19.5245873772,80.4753496948,.0000629254,0,0,0,0,,,,,,,,,
2019,111,1.2,,,,,,,,,,,,,,,,,,,,,
2019,112,1.3,,,5,10,20,30,20,10,5,,,,,,,,,,,,
2019,114,1.3,,,,,,,,,,,,,,,,,,,,,
2019,115,1.2,.8120731148,1.650236226,5.3149193133,11.3292402907,18.0488554433,21.4924987572,19.1306232289,12.7281478018,6.3293174309,2.3520152783,.6530220503,.1590510645,,,,,,,,,
2019,116,1.2,0,0,0,0,0,100,0,0,0,0,0,0,,,,,,,,,
2019,121,1.1880211651,0,0,0,0,8,90,2,0,0,0,0,0,,,,,,,,,
2019,127,1.3,.0101530041,.013196288,.379307074,4.3159806013,19.8205926395,37.0677341752,28.3522945197,8.8525919182,1.1200309021,.0568224702,.0011434036,.0101530041,,,,,,,,,
2019,128,1.3,,,,,6,90,4,,,,,,,,,,,,,,
2020,1,1.2,,1,2,4,15,44,22,8,3,1,,,,,,,,,,,
2020,2,1.4,0,0,0,0,10,60,30,0,0,0,0,0,,,,,,,,,
2020,4,1.2,,,2.5,7.5,20,40,20,10,,,,,,,,,,,,,
2020,5,1.1,,,,10,30,40,15,5,,,,,,,,,,,,,
2020,6,1.1,,,,,,70,30,,,,,,,,,,,,,,
2020,7,1.309389739,,,,,,,,,,,,,,,,,,,,,
2020,10,.7,,,5,30,60,5,,,,,,,,,,,,,,,
2020,14,1.6,0,0,0,2,11,32,36,16,3,0,0,0,,,,,,,,,
2020,15,1.3,,,,10,20,35,20,10,5,,,,,,,,,,,,
2020,16,1,2,5,7,8,20,24,18,11,3,1,1,0,,,,,,,,,
2020,20,1.2,,,,10,25,40,20,5,,,,,,,,,,,,,
2020,22,1,,,,10,25,45,20,,,,,,,,,,,,,,
2020,23,1.2,,,,5,25,30,25,10,5,,,,,,,,,,,,
2020,24,1.2299928622,,1,3,10,20,30,20,8,8,,,,,,,,,,,,
2020,26,1.3,,,5,10,20,30,20,10,5,,,,,,,,,,,,
2020,32,1.2,.0000600649,.0055568826,.2844857755,4.5811723777,24.1090472632,41.8881252934,24.2155277672,4.6239567819,.2863998714,.0056333171,.00003454,.0000000651,,,,,,,,,
2020,33,1.3,,0,0,11,21,31,20,10,5,2,0,,,,,,,,,,
2020,37,1.3,,,,,14,70,16,,,,,,,,,,,,,,
2020,38,1.1,,,,,20,70,10,,,,,,,,,,,,,,
2020,39,1.2,,,,10,20,35,25,5,5,,,,,,,,,,,,
2020,41,1.4,,,,,25,50,25,,,,,,,,,,,,,,
2020,45,1.4,,,,5,15,35,30,10,5,,,,,,,,,,,,
2020,47,1,,,5,10,20,50,10,5,,,,,,,,,,,,,
2020,48,1.2,,,,,5,90,5,,,,,,,,,,,,,,
2020,54,,,,,,40,50,10,,,,,,,,,,,,,,
2020,56,1.1,,,,,30,60,10,,,,,,,,,,,,,,
2020,57,1.2,0,0,0,10,25,50,15,0,0,0,0,0,,,,,,,,,
2020,61,1.3,,,,5,30,40,20,5,,,,,,,,,,,,,
2020,67,,,,,,,,,,,,,,,,,,,,,,
2020,80,1.6,0,.1150747986,.5753739931,3.4522439586,13.4637514384,24.5109321059,26.1219792865,18.4119677791,9.666283084,2.8768699655,.8055235903,0,,,,,,,,,
2020,82,1.2,,,,,,,,,,,,,,,,,,,,,
2020,85,1.0516908799,.0167797041,.2786438404,2.4507268626,11.1244488691,26.1498384518,31.9012003024,20.2080429732,6.6388986681,1.1280989249,.098779572,.0044386962,.0001031352,,,,,,,,,
2020,88,1.2,,,5,20,30,15,10,8,7,5,,,,,,,,,,,
2020,89,1.2714634279,0,0,.1,1.7,18.7,47.2,28.3,3.9,.1,0,0,0,,,,,,,,,
2020,93,1.2,,,,2.5,25,45,25,2.5,,,,,,,,,,,,,
