INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN4_0,FN4_0TN3_6,FN3_5TN3_1,FN3_0TN2_6,FN2_5TN2_1,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,
2020,1,.4,,,,,,,1,3,10,35,30,15,5,1,,,,,,,,
2020,2,0,0,0,0,0,0,0,0,20,50,20,10,0,0,0,0,0,0,0,,,,
2020,4,.6,,,,1,2,3,4,5,15,20,22.5,15,9,2.5,1,,,,,,,
2020,5,.7,,,,,,,,,7.5,25,40,20,7.5,,,,,,,,,
2020,6,.3,,,,,,,,,20,50,25,5,,,,,,,,,,
2020,8,.3,,,,,,3,7,10,20,30,20,7,3,,,,,,,,,
2020,14,.7,,,,,,,0,0,0,14,70,16,0,0,0,0,0,0,,,,
2020,15,.6,,,,,,,,5,10,30,30,15,10,,,,,,,,,
2020,16,.5,0,0,0,1,2,3,4,8,11,18,20,15,8,4,3,2,1,0,,,,
2020,20,.3,,,,,,,,15,22,30,23,10,,,,,,,,,,
2020,22,-.5,,,,,,,10,25,30,20,15,0,,,,,,,,,,
2020,23,.6,,,,,,,,5,10,25,30,20,10,,,,,,,,,
2020,24,.4120938812,,,,,,,,3,15,45,20,15,2,,,,,,,,,
2020,26,.9,,,,,,,,5,5,15,25,25,15,10,,,,,,,,
2020,30,.2,,,,,,,,,,,,,,,,,,,,,,
2020,31,.5,,,,,,,,5,15,35,35,10,,,,,,,,,,
2020,32,.3,.0000000516,.0000021628,.0000893534,.0022636417,.0355159385,.3456347282,2.0894640204,9.1744370316,19.5185229834,27.1151956977,23.5971774382,12.7777708904,4.3106218983,.9051007463,.1181361581,.0095713953,.0004806371,.000015227,,,,
2020,33,.3,,,,,,,1,8,21,35,20,11,3,1,,,,,,,,
2020,36,1,,,,,,,,5,10,15,30,35,5,,,,,,,,,
2020,37,.7,,,,,,,,,4,11,42,35,8,,,,,,,,,
2020,38,-.2,,,,,,,,45,55,,,,,,,,,,,,,
2020,39,.7,,,,,,,,,10,25,35,25,5,,,,,,,,,
2020,41,.6,,,,,,,,,,30,60,10,,,,,,,,,,
2020,42,,,,,,,,,,5,45,35,15,,,,,,,,,,
2020,45,,,,,,,,,,10,30,35,15,10,,,,,,,,,
2020,52,.2,0,0,0,0,0,1,3,8,23,45,16,3,1,0,0,0,0,0,,,,
2020,54,,,,,,,,,,35,50,15,,,,,,,,,,,
2020,56,0,,,,,,,,0,45,40,15,,,,,,,,,,,
2020,61,.6,,,,,,,,5,10,20,25,20,15,5,,,,,,,,
2020,63,.9,,,,,,,,,,5,45,30,20,,,,,,,,,
2020,65,.1,,,,,,,,10,20,40,20,10,,,,,,,,,,
2020,68,.8,,,,,,,,,,,,,,,,,,,,,,
2020,73,.2,,,,,,,,,10,85,5,,,,,,,,,,,
2020,82,.3,,,,,,,,,,,,,,,,,,,,,,
2020,89,1.2,,,,,,,0,0,.1,5.1,36.3,48.4,10,0,.1,0,0,0,,,,
2020,90,-.2,0,0,1,2.5,5,8,10,15,30,10,8,5,3,1.5,1,0,0,0,,,,
2020,93,.9,,,,,,,,2.5,2.5,15,40,25,10,5,,,,,,,,
2020,95,.3281902783,.0004452336,.0039746594,.027633649,.149624577,.6309486469,2.0721036262,5.299749074,10.5566354419,16.3765388584,19.7854118784,18.6163463625,13.6417531007,7.785245266,3.4601967405,1.1977210043,.3228768581,.0677867091,.005008314,,,,
2020,96,.5,,,,,,,5,10,15,25,30,10,5,,,,,,,,,
2020,97,.7,,,,,,,,,,,,,,,,,,,,,,
2020,98,.5,,,,,,,,,5,40,50,5,,,,,,,,,,
2020,99,.8,,,,,,,,,,15,75,10,,,,,,,,,,
