DATE,CP0000EZ19M086NEST,,
01/01/1996,70.4,,
01/02/1996,70.71,,
01/03/1996,71.01,,
01/04/1996,71.14,,
01/05/1996,71.32,,
01/06/1996,71.33,,
01/07/1996,71.31,,
01/08/1996,71.27,,
01/09/1996,71.44,,
01/10/1996,71.52,,
01/11/1996,71.53,,
01/12/1996,71.73,,
01/01/1997,71.95,0.022017045,2.2%
01/02/1997,72.11,0.01979918,2.0%
01/03/1997,72.2,0.016758203,1.7%
01/04/1997,72.18,0.014619061,1.5%
01/05/1997,72.38,0.014862591,1.5%
01/06/1997,72.41,0.015140894,1.5%
01/07/1997,72.46,0.01612677,1.6%
01/08/1997,72.58,0.018380805,1.8%
01/09/1997,72.65,0.01693729,1.7%
01/10/1997,72.69,0.01635906,1.6%
01/11/1997,72.79,0.017614987,1.8%
01/12/1997,72.88,0.016032344,1.6%
01/01/1998,72.82,0.01209173,1.2%
01/02/1998,73,0.012342255,1.2%
01/03/1998,73.1,0.012465374,1.2%
01/04/1998,73.28,0.015239679,1.5%
01/05/1998,73.43,0.01450677,1.5%
01/06/1998,73.47,0.014638862,1.5%
01/07/1998,73.47,0.013938725,1.4%
01/08/1998,73.49,0.012537889,1.3%
01/09/1998,73.47,0.011286992,1.1%
01/10/1998,73.45,0.010455358,1.0%
01/11/1998,73.45,0.00906718,0.9%
01/12/1998,73.49,0.008369923,0.8%
01/01/1999,73.44,0.008514144,0.9%
01/02/1999,73.61,0.008356164,0.8%
01/03/1999,73.85,0.010259918,1.0%
01/04/1999,74.11,0.011326419,1.1%
01/05/1999,74.16,0.009941441,1.0%
01/06/1999,74.16,0.009391588,0.9%
01/07/1999,74.26,0.010752688,1.1%
01/08/1999,74.35,0.011702272,1.2%
01/09/1999,74.43,0.013066558,1.3%
01/10/1999,74.47,0.013886998,1.4%
01/11/1999,74.57,0.015248468,1.5%
01/12/1999,74.83,0.018233773,1.8%
01/01/2000,74.86,0.019335512,1.9%
01/02/2000,75.1,0.020241815,2.0%
01/03/2000,75.37,0.020582261,2.1%
01/04/2000,75.45,0.018081231,1.8%
01/05/2000,75.54,0.018608414,1.9%
01/06/2000,75.8,0.022114347,2.2%
01/07/2000,75.87,0.021680582,2.2%
01/08/2000,75.93,0.021250841,2.1%
01/09/2000,76.26,0.02458686,2.5%
01/10/2000,76.3,0.024573654,2.5%
01/11/2000,76.46,0.025345313,2.5%
01/12/2000,76.75,0.025658158,2.6%
01/01/2001,76.43,0.020972482,2.1%
01/02/2001,76.66,0.020772304,2.1%
01/03/2001,77.07,0.022555393,2.3%
01/04/2001,77.54,0.027700464,2.8%
01/05/2001,77.9,0.031241726,3.1%
01/06/2001,78.02,0.029287599,2.9%
01/07/2001,77.84,0.025965467,2.6%
01/08/2001,77.78,0.024364546,2.4%
01/09/2001,77.99,0.022685549,2.3%
01/10/2001,78.06,0.023066841,2.3%
01/11/2001,78.01,0.020272038,2.0%
01/12/2001,78.36,0.020977199,2.1%
01/01/2002,78.45,0.026429413,2.6%
01/02/2002,78.58,0.025045656,2.5%
01/03/2002,79.02,0.025301674,2.5%
01/04/2002,79.38,0.023729688,2.4%
01/05/2002,79.52,0.020795892,2.1%
01/06/2002,79.49,0.018841323,1.9%
01/07/2002,79.41,0.020169579,2.0%
01/08/2002,79.46,0.021599383,2.2%
01/09/2002,79.66,0.021413002,2.1%
01/10/2002,79.85,0.022931079,2.3%
01/11/2002,79.79,0.022817587,2.3%
01/12/2002,80.17,0.02309852,2.3%
01/01/2003,80.14,0.021542384,2.2%
