Date	Index Level
04/01/1999	13.0825
05/01/1999	13.1875
06/01/1999	12.4961
07/01/1999	12.5146
08/01/1999	12.2119
11/01/1999	12.4765
12/01/1999	12.0212
13/01/1999	12.4359
14/01/1999	12.4354
15/01/1999	12.4247
19/01/1999	12.0203
20/01/1999	11.7426
21/01/1999	11.6557
22/01/1999	11.3382
25/01/1999	11.0716
26/01/1999	10.8226
27/01/1999	10.8309
28/01/1999	11.0172
29/01/1999	10.841
01/02/1999	10.8195
02/02/1999	11.2374
03/02/1999	11.1028
04/02/1999	11.0963
05/02/1999	11.1235
08/02/1999	11.0115
09/02/1999	10.8708
10/02/1999	10.8881
11/02/1999	10.9515
12/02/1999	10.9963
16/02/1999	11.1427
17/02/1999	11.1752
18/02/1999	11.3503
19/02/1999	11.445
22/02/1999	11.5112
23/02/1999	11.3898
24/02/1999	11.45
25/02/1999	11.5005
26/02/1999	11.6025
01/03/1999	11.5703
02/03/1999	11.5837
03/03/1999	11.527
04/03/1999	11.6931
05/03/1999	11.6531
08/03/1999	11.4348
09/03/1999	11.4149
10/03/1999	11.3695
11/03/1999	11.4674
12/03/1999	11.4355
15/03/1999	11.3804
16/03/1999	11.6412
17/03/1999	11.5278
18/03/1999	11.459
19/03/1999	11.4442
22/03/1999	11.3409
23/03/1999	11.0857
24/03/1999	11.1475
25/03/1999	11.2447
26/03/1999	11.1184
29/03/1999	11.3234
30/03/1999	11.2522
31/03/1999	11.2383
01/04/1999	11.0071
06/04/1999	10.7804
07/04/1999	10.3431
08/04/1999	10.3215
09/04/1999	10.2039
12/04/1999	10.3587
13/04/1999	10.1966
14/04/1999	10.4031
15/04/1999	9.9276
16/04/1999	10.0893
19/04/1999	10.1391
20/04/1999	10.045
21/04/1999	10.199
22/04/1999	10.1024
23/04/1999	9.9032
26/04/1999	9.8312
27/04/1999	9.5224
28/04/1999	9.5564
29/04/1999	9.5837
30/04/1999	9.4887
04/05/1999	11.0052
05/05/1999	9.6088
06/05/1999	9.717
07/05/1999	9.4553
10/05/1999	9.4188
11/05/1999	9.2317
12/05/1999	9.2087
13/05/1999	9.4227
14/05/1999	9.4699
17/05/1999	9.5363
18/05/1999	9.5931
19/05/1999	9.5735
20/05/1999	9.5957
21/05/1999	9.3266
24/05/1999	9.1012
25/05/1999	9.3842
